Model,RMSE,MAE,R2
LinearRegression,5956.342894363582,4177.045561036323,0.8069287081198016
Ridge,5963.754526404149,4185.524666874394,0.8064479219404095
Lasso,5956.34356855605,4177.046352167181,0.806928664412708
RandomForest,4608.867188237671,2537.126085168471,0.884402961776201
XGBoost,4772.172540046722,2711.138611648554,0.8760659634781773
